Prompt_ID,Tested_Model,Language,AI_Empathetic_Accuracy,AI_Linguistic_Naturalness,AI_Contextual_Cultural_Grounding
DIS_062,DeepSeek,EN,3.333,3.667,2.667
STR_074,DeepSeek,EN,3.667,3.667,2.667
DIS_075,DeepSeek,EN,3.667,4.0,3.0
PAN_056,DeepSeek,EN,3.0,3.333,2.333
PAN_005,DeepSeek,EN,3.667,4.0,2.667
DIS_095,DeepSeek,EN,4.0,4.333,3.0
DIS_078,DeepSeek,EN,3.667,4.0,2.667
PAN_025,DeepSeek,EN,3.0,3.667,2.667
STR_069,DeepSeek,EN,3.333,3.667,2.667
TEN_051,DeepSeek,EN,3.0,3.333,2.333
STR_010,DeepSeek,EN,3.0,3.667,2.667
PAN_095,DeepSeek,EN,3.667,3.667,2.667
TEN_007,DeepSeek,EN,3.333,3.667,2.667
STR_085,DeepSeek,EN,3.0,3.333,2.333
DIS_072,DeepSeek,EN,4.0,4.0,3.0
DIS_089,DeepSeek,EN,3.667,3.667,2.667
TEN_096,DeepSeek,EN,2.667,2.667,2.0
STR_031,DeepSeek,EN,4.0,4.0,3.0
DIS_017,DeepSeek,EN,3.0,3.333,2.333
TEN_009,DeepSeek,EN,4.0,4.0,3.0
TEN_091,DeepSeek,EN,2.667,2.667,2.0
TEN_092,DeepSeek,EN,2.333,2.667,2.0
LON_081,DeepSeek,EN,3.667,3.667,2.667
DIS_057,DeepSeek,EN,3.667,4.0,2.667
STR_077,DeepSeek,EN,3.333,4.0,2.667
TEN_062,DeepSeek,EN,2.667,2.667,2.0
TEN_098,DeepSeek,EN,2.667,2.667,2.0
LON_012,DeepSeek,EN,3.667,4.0,2.667
PAN_002,DeepSeek,EN,3.667,3.667,2.667
DIS_035,DeepSeek,EN,3.333,3.667,2.667
TEN_076,DeepSeek,EN,2.333,2.667,2.0
DIS_037,DeepSeek,EN,3.667,4.0,3.0
TEN_041,DeepSeek,EN,4.0,4.0,3.0
PAN_074,DeepSeek,EN,2.667,2.667,2.0
STR_003,DeepSeek,EN,3.667,4.0,2.667
DIS_034,DeepSeek,EN,3.333,3.667,2.667
TEN_010,DeepSeek,EN,4.0,4.0,3.0
STR_071,DeepSeek,EN,4.333,4.0,3.0
LON_010,DeepSeek,EN,3.667,3.667,2.667
STR_064,DeepSeek,EN,4.0,4.0,3.333
DIS_085,DeepSeek,EN,4.0,4.333,3.0
STR_094,DeepSeek,EN,4.333,4.333,3.333
TEN_086,DeepSeek,EN,2.333,2.667,2.0
PAN_086,DeepSeek,EN,4.333,4.333,3.333
STR_034,DeepSeek,EN,3.667,3.667,2.667
STR_078,DeepSeek,EN,3.667,4.0,2.667
STR_001,DeepSeek,EN,4.333,4.0,3.0
STR_012,DeepSeek,EN,3.0,3.333,2.333
TEN_016,DeepSeek,EN,3.667,4.0,3.0
STR_023,DeepSeek,EN,4.0,4.0,3.0
DIS_062,DeepSeek,UA,3.667,4.0,4.0
STR_074,DeepSeek,UA,3.667,4.333,4.0
DIS_075,DeepSeek,UA,3.333,4.0,3.667
PAN_056,DeepSeek,UA,3.667,4.0,3.667
PAN_005,DeepSeek,UA,3.667,4.0,3.667
DIS_095,DeepSeek,UA,4.0,4.667,4.0
DIS_078,DeepSeek,UA,3.667,4.0,4.0
PAN_025,DeepSeek,UA,3.333,4.0,3.667
STR_069,DeepSeek,UA,4.333,4.667,5.0
TEN_051,DeepSeek,UA,3.0,4.0,3.0
STR_010,DeepSeek,UA,3.667,4.333,4.0
PAN_095,DeepSeek,UA,4.0,4.667,4.0
TEN_007,DeepSeek,UA,3.333,4.0,3.667
STR_085,DeepSeek,UA,4.0,4.333,4.0
DIS_072,DeepSeek,UA,3.333,4.0,3.0
DIS_089,DeepSeek,UA,3.667,4.333,3.667
TEN_096,DeepSeek,UA,2.667,2.667,2.667
STR_031,DeepSeek,UA,4.0,4.667,4.0
DIS_017,DeepSeek,UA,4.0,4.333,4.0
TEN_009,DeepSeek,UA,4.0,4.333,4.0
TEN_091,DeepSeek,UA,2.667,3.0,2.667
TEN_092,DeepSeek,UA,2.333,2.667,2.333
LON_081,DeepSeek,UA,3.333,4.0,3.0
DIS_057,DeepSeek,UA,3.333,4.0,3.333
STR_077,DeepSeek,UA,4.333,5.0,5.0
TEN_062,DeepSeek,UA,2.667,2.667,2.667
TEN_098,DeepSeek,UA,2.667,3.0,2.667
LON_012,DeepSeek,UA,4.0,4.667,4.0
PAN_002,DeepSeek,UA,4.333,4.667,4.0
DIS_035,DeepSeek,UA,3.667,4.0,3.667
TEN_076,DeepSeek,UA,2.667,2.667,2.667
DIS_037,DeepSeek,UA,4.0,4.333,4.0
TEN_041,DeepSeek,UA,3.333,4.0,3.0
PAN_074,DeepSeek,UA,3.0,3.0,3.0
STR_003,DeepSeek,UA,3.333,4.0,3.667
DIS_034,DeepSeek,UA,4.0,4.333,4.0
TEN_010,DeepSeek,UA,3.333,4.0,3.333
STR_071,DeepSeek,UA,3.667,4.0,3.667
LON_010,DeepSeek,UA,3.333,4.0,3.667
STR_064,DeepSeek,UA,3.333,4.0,3.667
DIS_085,DeepSeek,UA,4.0,4.667,4.0
STR_094,DeepSeek,UA,4.0,4.333,4.0
TEN_086,DeepSeek,UA,2.667,3.0,2.667
PAN_086,DeepSeek,UA,3.0,3.333,2.667
STR_034,DeepSeek,UA,3.667,4.333,4.0
STR_078,DeepSeek,UA,3.667,4.0,3.667
STR_001,DeepSeek,UA,3.333,4.0,3.667
STR_012,DeepSeek,UA,3.667,4.0,3.667
TEN_016,DeepSeek,UA,4.333,5.0,4.333
STR_023,DeepSeek,UA,3.333,4.0,3.667
DIS_062,Gemini,EN,4.333,4.333,3.333
STR_074,Gemini,EN,3.667,3.333,2.333
DIS_075,Gemini,EN,3.333,3.667,2.667
PAN_056,Gemini,EN,3.333,3.333,2.667
PAN_005,Gemini,EN,3.333,3.667,2.667
DIS_095,Gemini,EN,3.667,3.667,2.667
DIS_078,Gemini,EN,3.667,3.667,2.667
PAN_025,Gemini,EN,3.0,3.333,2.333
STR_069,Gemini,EN,3.667,3.667,2.667
TEN_051,Gemini,EN,3.0,3.667,2.333
STR_010,Gemini,EN,3.333,3.667,2.667
PAN_095,Gemini,EN,3.667,3.667,2.667
TEN_007,Gemini,EN,3.667,3.667,2.667
STR_085,Gemini,EN,3.667,3.333,2.667
DIS_072,Gemini,EN,3.667,3.667,2.667
DIS_089,Gemini,EN,3.667,3.333,2.667
TEN_096,Gemini,EN,2.333,2.667,2.0
STR_031,Gemini,EN,3.667,3.333,2.667
DIS_017,Gemini,EN,3.0,3.333,2.333
TEN_009,Gemini,EN,3.667,3.667,2.667
TEN_091,Gemini,EN,2.667,2.667,2.0
TEN_092,Gemini,EN,2.333,2.667,2.0
LON_081,Gemini,EN,4.0,4.0,3.0
DIS_057,Gemini,EN,3.667,4.0,2.667
STR_077,Gemini,EN,3.667,3.667,2.667
TEN_062,Gemini,EN,2.333,2.667,2.0
TEN_098,Gemini,EN,2.667,2.667,2.0
LON_012,Gemini,EN,3.667,4.0,2.667
PAN_002,Gemini,EN,3.667,4.0,3.0
DIS_035,Gemini,EN,4.0,4.0,3.0
TEN_076,Gemini,EN,2.333,2.333,1.667
DIS_037,Gemini,EN,3.667,3.667,2.667
TEN_041,Gemini,EN,3.667,3.667,2.667
PAN_074,Gemini,EN,2.667,2.333,1.667
STR_003,Gemini,EN,4.0,3.667,2.667
DIS_034,Gemini,EN,3.667,3.667,2.667
TEN_010,Gemini,EN,3.667,3.333,2.333
STR_071,Gemini,EN,4.0,3.667,2.667
LON_010,Gemini,EN,4.0,3.667,2.667
STR_064,Gemini,EN,4.333,4.0,3.333
DIS_085,Gemini,EN,4.333,4.0,3.0
STR_094,Gemini,EN,3.333,3.667,2.667
TEN_086,Gemini,EN,2.333,2.333,1.667
PAN_086,Gemini,EN,3.667,3.667,2.667
STR_034,Gemini,EN,4.0,4.0,3.0
STR_078,Gemini,EN,4.0,4.0,3.0
STR_001,Gemini,EN,4.333,4.0,3.0
STR_012,Gemini,EN,3.667,3.667,2.667
TEN_016,Gemini,EN,3.333,3.667,2.667
STR_023,Gemini,EN,3.333,3.667,2.667
DIS_062,Gemini,UA,4.333,5.0,4.333
STR_074,Gemini,UA,3.667,4.0,3.667
DIS_075,Gemini,UA,3.333,4.0,3.333
PAN_056,Gemini,UA,3.333,3.667,3.0
PAN_005,Gemini,UA,3.667,4.0,3.667
DIS_095,Gemini,UA,4.0,4.333,4.0
DIS_078,Gemini,UA,3.667,4.0,3.333
PAN_025,Gemini,UA,3.333,4.0,3.333
STR_069,Gemini,UA,3.333,4.0,3.667
TEN_051,Gemini,UA,3.333,4.0,3.333
STR_010,Gemini,UA,3.333,4.0,3.333
PAN_095,Gemini,UA,3.333,4.0,3.667
TEN_007,Gemini,UA,3.333,4.0,3.667
STR_085,Gemini,UA,3.333,4.0,3.333
DIS_072,Gemini,UA,3.333,4.0,3.333
DIS_089,Gemini,UA,3.333,3.667,3.333
TEN_096,Gemini,UA,2.333,2.667,2.667
STR_031,Gemini,UA,3.333,4.0,3.667
DIS_017,Gemini,UA,3.0,4.0,3.333
TEN_009,Gemini,UA,3.667,3.667,3.667
TEN_091,Gemini,UA,2.333,2.667,2.667
TEN_092,Gemini,UA,2.333,2.667,2.333
LON_081,Gemini,UA,3.667,4.0,3.667
DIS_057,Gemini,UA,3.333,4.0,3.333
STR_077,Gemini,UA,3.667,4.0,3.333
TEN_062,Gemini,UA,2.333,2.667,2.333
TEN_098,Gemini,UA,2.333,2.667,2.333
LON_012,Gemini,UA,3.667,4.0,3.667
PAN_002,Gemini,UA,3.333,4.0,3.333
DIS_035,Gemini,UA,4.0,4.0,4.0
TEN_076,Gemini,UA,2.333,2.667,2.667
DIS_037,Gemini,UA,3.333,4.0,3.333
TEN_041,Gemini,UA,4.0,4.0,3.667
PAN_074,Gemini,UA,2.333,2.333,2.0
STR_003,Gemini,UA,3.333,4.0,3.0
DIS_034,Gemini,UA,3.333,4.0,3.333
TEN_010,Gemini,UA,3.667,4.0,3.667
STR_071,Gemini,UA,4.0,4.333,3.667
LON_010,Gemini,UA,3.333,3.667,3.0
STR_064,Gemini,UA,4.333,4.333,4.667
DIS_085,Gemini,UA,3.667,4.0,3.667
STR_094,Gemini,UA,3.667,4.0,3.333
TEN_086,Gemini,UA,2.667,2.667,2.667
PAN_086,Gemini,UA,3.333,4.0,2.667
STR_034,Gemini,UA,3.667,4.0,3.667
STR_078,Gemini,UA,4.0,4.0,3.667
STR_001,Gemini,UA,3.667,3.667,3.333
STR_012,Gemini,UA,4.333,4.667,4.333
TEN_016,Gemini,UA,3.333,4.0,3.333
STR_023,Gemini,UA,3.667,4.0,3.667
DIS_062,LLaMA,EN,4.333,4.333,3.333
STR_074,LLaMA,EN,3.667,4.0,2.667
DIS_075,LLaMA,EN,4.333,4.333,3.333
PAN_056,LLaMA,EN,2.667,3.0,2.333
PAN_005,LLaMA,EN,4.333,4.333,3.333
DIS_095,LLaMA,EN,3.667,3.667,2.667
DIS_078,LLaMA,EN,3.0,3.333,2.333
PAN_025,LLaMA,EN,3.667,3.667,2.667
STR_069,LLaMA,EN,3.667,4.0,2.667
TEN_051,LLaMA,EN,3.0,4.0,2.667
STR_010,LLaMA,EN,3.667,3.667,2.667
PAN_095,LLaMA,EN,3.667,3.667,2.667
TEN_007,LLaMA,EN,3.667,3.667,2.667
STR_085,LLaMA,EN,3.667,3.667,2.667
DIS_072,LLaMA,EN,3.667,3.667,2.667
DIS_089,LLaMA,EN,3.667,3.667,2.667
TEN_096,LLaMA,EN,2.667,2.667,2.0
STR_031,LLaMA,EN,3.667,4.0,2.667
DIS_017,LLaMA,EN,3.667,3.667,2.667
TEN_009,LLaMA,EN,4.333,4.0,3.0
TEN_091,LLaMA,EN,2.667,2.667,2.0
TEN_092,LLaMA,EN,2.667,2.667,2.0
LON_081,LLaMA,EN,4.333,4.333,3.333
DIS_057,LLaMA,EN,3.333,3.667,2.333
STR_077,LLaMA,EN,3.0,3.667,2.333
TEN_062,LLaMA,EN,2.667,2.667,2.0
TEN_098,LLaMA,EN,3.0,3.0,2.333
LON_012,LLaMA,EN,4.0,4.0,3.0
PAN_002,LLaMA,EN,4.333,4.333,3.333
DIS_035,LLaMA,EN,3.333,4.0,2.667
TEN_076,LLaMA,EN,2.667,2.667,2.0
DIS_037,LLaMA,EN,4.0,4.0,3.0
TEN_041,LLaMA,EN,3.667,3.667,2.667
PAN_074,LLaMA,EN,2.667,2.667,2.0
STR_003,LLaMA,EN,3.667,4.0,2.667
DIS_034,LLaMA,EN,4.333,4.333,3.333
TEN_010,LLaMA,EN,3.667,3.667,2.667
STR_071,LLaMA,EN,4.333,4.333,3.0
LON_010,LLaMA,EN,3.333,4.0,2.667
STR_064,LLaMA,EN,4.333,4.0,3.667
DIS_085,LLaMA,EN,4.333,4.333,3.333
STR_094,LLaMA,EN,3.333,3.667,2.667
TEN_086,LLaMA,EN,2.667,2.667,2.0
PAN_086,LLaMA,EN,4.333,4.333,3.333
STR_034,LLaMA,EN,3.667,3.667,2.667
STR_078,LLaMA,EN,3.667,4.0,2.667
STR_001,LLaMA,EN,4.333,4.333,3.333
STR_012,LLaMA,EN,4.333,4.333,3.333
TEN_016,LLaMA,EN,3.667,3.667,2.667
STR_023,LLaMA,EN,4.0,4.0,3.0
DIS_062,LLaMA,UA,3.667,4.0,3.333
STR_074,LLaMA,UA,3.333,4.0,3.0
DIS_075,LLaMA,UA,4.333,4.667,4.0
PAN_056,LLaMA,UA,3.333,4.0,3.333
PAN_005,LLaMA,UA,3.0,3.667,3.333
DIS_095,LLaMA,UA,3.667,3.333,3.333
DIS_078,LLaMA,UA,2.667,2.667,2.667
PAN_025,LLaMA,UA,3.0,2.667,2.667
STR_069,LLaMA,UA,3.667,3.333,3.333
TEN_051,LLaMA,UA,2.667,3.667,3.0
STR_010,LLaMA,UA,3.0,3.0,3.0
PAN_095,LLaMA,UA,3.333,3.667,3.0
TEN_007,LLaMA,UA,3.333,4.0,3.667
STR_085,LLaMA,UA,4.0,4.0,3.667
DIS_072,LLaMA,UA,4.0,4.0,3.667
DIS_089,LLaMA,UA,3.667,4.0,3.667
TEN_096,LLaMA,UA,2.667,3.0,2.667
STR_031,LLaMA,UA,4.0,4.0,3.667
DIS_017,LLaMA,UA,3.333,4.0,3.667
TEN_009,LLaMA,UA,4.333,4.333,4.0
TEN_091,LLaMA,UA,2.333,2.667,2.667
TEN_092,LLaMA,UA,2.333,2.667,2.667
LON_081,LLaMA,UA,4.0,4.0,3.667
DIS_057,LLaMA,UA,3.0,4.0,3.0
STR_077,LLaMA,UA,3.333,3.333,3.333
TEN_062,LLaMA,UA,2.333,2.667,2.333
TEN_098,LLaMA,UA,2.667,2.667,2.667
LON_012,LLaMA,UA,3.0,3.0,3.333
PAN_002,LLaMA,UA,4.333,4.667,4.333
DIS_035,LLaMA,UA,3.667,3.333,3.333
TEN_076,LLaMA,UA,2.333,2.667,2.333
DIS_037,LLaMA,UA,3.333,3.667,3.333
TEN_041,LLaMA,UA,3.667,4.0,3.667
PAN_074,LLaMA,UA,2.333,2.667,2.333
STR_003,LLaMA,UA,3.0,4.0,2.667
DIS_034,LLaMA,UA,4.333,4.667,4.333
TEN_010,LLaMA,UA,3.333,3.333,3.333
STR_071,LLaMA,UA,3.333,2.667,3.333
LON_010,LLaMA,UA,3.333,4.0,3.333
STR_064,LLaMA,UA,4.0,3.333,4.0
DIS_085,LLaMA,UA,3.667,3.667,3.333
STR_094,LLaMA,UA,3.667,3.667,3.333
TEN_086,LLaMA,UA,2.333,2.667,2.333
PAN_086,LLaMA,UA,3.333,4.0,3.333
STR_034,LLaMA,UA,3.333,4.0,3.667
STR_078,LLaMA,UA,3.667,3.667,3.333
STR_001,LLaMA,UA,3.333,3.333,3.667
STR_012,LLaMA,UA,3.333,3.333,3.667
TEN_016,LLaMA,UA,3.667,4.0,3.667
STR_023,LLaMA,UA,4.0,3.667,3.667
